accession	Pfam/Hmm	name	description	E-value
OFV10471.1_4	PF05147	LANC_like	Lanthionine synthetase C-like protein	5.8e-23
OFV10471.1_5	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	4.6e-28
OFV10471.1_5	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	9.9e-28
OFV10471.1_6	PF03412	Peptidase_C39	Peptidase C39 family	1.1e-36
OFV10471.1_6	PF00664	ABC_membrane	ABC transporter transmembrane region	3.7e-27
OFV10471.1_6	PF00005	ABC_tran	ABC transporter	4.3e-27
OFV10471.1_6	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	1.2e-07
OFV10471.1_7	PF13437	HlyD_3	HlyD family secretion protein	2.4e-11
OFV10471.1_7	PF00364	Biotin_lipoyl	Biotin-requiring enzyme	8e-06
OFV10471.1_7	PF16576	HlyD_D23	Barrel-sandwich domain of CusB or HlyD membrane-fusion	8.3e-06
OFV10471.1_8	PF00535	Glycos_transf_2	Glycosyl transferase family 2	1.1e-37
OFV10471.1_8	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	1.4e-16
OFV10471.1_8	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	4.5e-11
OFV10471.1_10	PF01610	DDE_Tnp_ISL3	Transposase	3.6e-27
OFV10471.1_11	PF01757	Acyl_transf_3	Acyltransferase family	3.2e-32
OFV10471.1_12	PF08327	AHSA1	Activator of Hsp90 ATPase homolog 1-like protein	1.2e-09
OFV10471.1_13	PF00754	F5_F8_type_C	F5/8 type C domain	7.3e-15
OFV10471.1_14	PF12867	DinB_2	DinB superfamily	8e-07
OFV10471.1_15	PF00583	Acetyltransf_1	Acetyltransferase (GNAT) family	3.3e-12
OFV10471.1_15	PF13673	Acetyltransf_10	Acetyltransferase (GNAT) domain	3.9e-11
OFV10471.1_15	PF13508	Acetyltransf_7	Acetyltransferase (GNAT) domain	9.7e-10
OFV10471.1_16	PF02518	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1.9e-20
OFV10471.1_16	PF08448	PAS_4	PAS fold	1.1e-09
OFV10471.1_16	PF14501	HATPase_c_5	GHKL domain	1e-06
OFV10471.1_17	PF00512	HisKA	His Kinase A (phospho-acceptor) domain	3.3e-06
SDH45420.1_1	PF05139	Erythro_esteras	Erythromycin esterase	6.9e-42
SDH45420.1_2	PF05147	LANC_like	Lanthionine synthetase C-like protein	4.8e-38
SDH45420.1_3	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	5.6e-136
SDH45420.1_3	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	8.4e-50
SDH45420.1_4	PF02709	Glyco_transf_7C	N-terminal domain of galactosyltransferase	1.9e-10
SDH45420.1_5	PF05147	LANC_like	Lanthionine synthetase C-like protein	4.5e-06
SDH45420.1_7	PF00535	Glycos_transf_2	Glycosyl transferase family 2	3e-33
SDH45420.1_7	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	3.5e-15
SDH45420.1_7	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	8.6e-11
