accession	start	end	direction	length	Pfam/Hmm	name	description	E-value
NZ_JBEYAJ010000004.1_1	1	456	-1	152	none	none	none	none
NZ_JBEYAJ010000004.1_2	561	806	1	82	none	none	none	none
NZ_JBEYAJ010000004.1_3	809	1144	1	112	none	none	none	none
NZ_JBEYAJ010000004.1_4	1311	1727	-1	139	PF01243	Putative_PNPOx	Pyridoxamine 5'-phosphate oxidase	3.5e-14
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF07724	AAA_2	AAA domain (Cdc48 subfamily)	5.6e-70
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF17871	AAA_lid_9	AAA lid domain	3.3e-34
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF10431	ClpB_D2-small	C-terminal, D2-small domain, of ClpB protein	7.1e-30
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF00004	AAA	ATPase family associated with various cellular activities (AAA)	1e-19
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF07728	AAA_5	AAA domain (dynein-related subfamily)	9.8e-18
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF02861	Clp_N	Clp amino terminal domain, pathogenicity island component	1.4e-16
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF13401	AAA_22	AAA domain	3.8e-11
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF13191	AAA_16	AAA ATPase domain	1.3e-09
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF00158	Sigma54_activat	Sigma-54 interaction domain	7e-09
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF01637	ATPase_2	ATPase domain predominantly from Archaea	1e-06
NZ_JBEYAJ010000004.1_5	1866	4463	1	866	PF20720	nSTAND3	Novel STAND NTPase 3	3.5e-06
NZ_JBEYAJ010000004.1_6	4619	5146	1	176	PF10722	YbjN	Putative bacterial sensory transduction regulator	1.5e-17
NZ_JBEYAJ010000004.1_7	5499	7022	1	508	PF00877	NLPC_P60	NlpC/P60 family	7e-17
NZ_JBEYAJ010000004.1_8	7277	9916	-1	880	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	4.4e-22
NZ_JBEYAJ010000004.1_8	7277	9916	-1	880	PF00675	Peptidase_M16	Insulinase (Peptidase family M16)	1.1e-17
NZ_JBEYAJ010000004.1_9	10002	10937	-1	312	none	none	none	none
NZ_JBEYAJ010000004.1_10	10934	11614	-1	227	PF02441	Flavoprotein	Flavoprotein	4.7e-13
NZ_JBEYAJ010000004.1_11	11611	12588	-1	326	PF00296	Bac_luciferase	Luciferase-like monooxygenase	1e-29
NZ_JBEYAJ010000004.1_12	12705	13031	1	109	none	none	none	none
NZ_JBEYAJ010000004.1_13	13125	13295	-1	57	none	none	none	none
NZ_JBEYAJ010000004.1_14	13390	13581	-1	64	none	none	none	none
NZ_JBEYAJ010000004.1_15	13662	14687	-1	342	PF17914	HopA1	HopA1 effector protein family	4.2e-44
NZ_JBEYAJ010000004.1_16	14684	15859	-1	392	none	none	none	none
NZ_JBEYAJ010000004.1_17	16241	16537	-1	99	none	none	none	none
NZ_JBEYAJ010000004.1_18	16734	17366	-1	211	none	none	none	none
NZ_JBEYAJ010000004.1_19	17603	19384	-1	594	PF00664	ABC_membrane	ABC transporter transmembrane region	1e-31
NZ_JBEYAJ010000004.1_19	17603	19384	-1	594	PF00005	ABC_tran	ABC transporter	8.4e-30
NZ_JBEYAJ010000004.1_19	17603	19384	-1	594	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	5.1e-08
NZ_JBEYAJ010000004.1_19	17603	19384	-1	594	PF13304	AAA_21	AAA domain, putative AbiEii toxin, Type IV TA system	2e-06
NZ_JBEYAJ010000004.1_20	19407	19592	-1	62	none	none	none	none
NZ_JBEYAJ010000004.1_21	19858	20172	1	105	none	none	none	none
NZ_JBEYAJ010000004.1_22	20355	20822	1	156	none	none	none	none
NZ_JBEYAJ010000004.1_23	20819	21157	1	113	PF13601	HTH_34	Winged helix DNA-binding domain	7.4e-21
NZ_JBEYAJ010000004.1_24	21271	21471	-1	67	none	none	none	none
NZ_JBEYAJ010000004.1_25	21566	21754	-1	63	none	none	none	none
NZ_JBEYAJ010000004.1_26	22037	22363	-1	109	none	none	none	none
NZ_JBEYAJ010000004.1_27	22380	23378	-1	333	PF17914	HopA1	HopA1 effector protein family	1e-46
NZ_JBEYAJ010000004.1_28	23375	24508	-1	378	PF01636	APH	Phosphotransferase enzyme family	3.6e-13
NZ_JBEYAJ010000004.1_29	24690	26009	1	440	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	3.4e-19
NZ_JBEYAJ010000004.1_29	24690	26009	1	440	PF00675	Peptidase_M16	Insulinase (Peptidase family M16)	2.7e-17
NZ_JBEYAJ010000004.1_30	26013	27422	1	470	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	2.8e-20
NZ_JBEYAJ010000004.1_31	28576	29550	-1	325	none	none	none	none
NZ_JBEYAJ010000004.1_32	29519	30202	-1	228	PF02441	Flavoprotein	Flavoprotein	7.6e-17
NZ_JBEYAJ010000004.1_33	30207	31226	-1	340	PF00296	Bac_luciferase	Luciferase-like monooxygenase	1.2e-28
NZ_JBEYAJ010000004.1_34	31226	32074	-1	283	PF01061	ABC2_membrane	ABC-2 type transporter	2.3e-21
NZ_JBEYAJ010000004.1_34	31226	32074	-1	283	PF12698	ABC2_membrane_3	ABC-2 family transporter protein	5.3e-20
NZ_JBEYAJ010000004.1_35	32071	32886	-1	272	PF00005	ABC_tran	ABC transporter	2.6e-26
NZ_JBEYAJ010000004.1_35	32071	32886	-1	272	PF13304	AAA_21	AAA domain, putative AbiEii toxin, Type IV TA system	2.2e-13
NZ_JBEYAJ010000004.1_36	33198	34385	-1	396	PF00155	Aminotran_1_2	Aminotransferase class I and II	1.1e-68
NZ_JBEYAJ010000004.1_36	33198	34385	-1	396	PF00266	Aminotran_5	Aminotransferase class-V	8.4e-10
NZ_JBEYAJ010000004.1_36	33198	34385	-1	396	PF01053	Cys_Met_Meta_PP	Cys/Met metabolism PLP-dependent enzyme	6e-07
NZ_JBEYAJ010000004.1_37	34525	36951	1	809	PF14498	Glyco_hyd_65N_2	Glycosyl hydrolase family 65, N-terminal domain	1.7e-34
NZ_JBEYAJ010000004.1_37	34525	36951	1	809	PF21307	Glyco_hydro_95_C	Glycoside hydrolase family 95, C-terminal domain	7e-11
NZ_JBEYAJ010000004.1_38	38004	38528	1	175	PF10936	DUF2617	Protein of unknown function DUF2617	2.3e-61
NZ_JBEYAJ010000004.1_39	38587	40200	1	538	PF01564	Spermine_synth	Spermine/spermidine synthase domain	4e-27
KP823601.1_1	1	603	-1	201	PF13407	Peripla_BP_4	Periplasmic binding protein domain	2.5e-39
KP823601.1_2	856	1875	-1	340	PF00296	Bac_luciferase	Luciferase-like monooxygenase	5.1e-28
KP823601.1_3	1872	3266	-1	465	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	6.9e-20
KP823601.1_4	3263	4540	-1	426	PF00675	Peptidase_M16	Insulinase (Peptidase family M16)	2.8e-14
KP823601.1_4	3263	4540	-1	426	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	1.1e-10
KP823601.1_5	4537	5394	-1	286	PF13649	Methyltransf_25	Methyltransferase domain	4.6e-16
KP823601.1_5	4537	5394	-1	286	PF13489	Methyltransf_23	Methyltransferase domain	2.5e-14
KP823601.1_5	4537	5394	-1	286	PF08241	Methyltransf_11	Methyltransferase domain	1.9e-11
KP823601.1_5	4537	5394	-1	286	PF08242	Methyltransf_12	Methyltransferase domain	9.6e-11
KP823601.1_5	4537	5394	-1	286	PF13847	Methyltransf_31	Methyltransferase domain	8.1e-07
KP823601.1_6	5391	6521	-1	377	PF17914	HopA1	HopA1 effector protein family	2e-38
KP823601.1_7	6518	7723	-1	402	none	none	none	none
KP823601.1_8	7720	8712	-1	331	none	none	none	none
KP823601.1_9	8709	9320	-1	204	PF02441	Flavoprotein	Flavoprotein	1.1e-13
KP823601.1_10	9427	9645	-1	73	none	none	none	none
KP823601.1_11	9851	11620	1	590	PF00664	ABC_membrane	ABC transporter transmembrane region	1.1e-33
KP823601.1_11	9851	11620	1	590	PF00005	ABC_tran	ABC transporter	3.3e-31
KP823601.1_11	9851	11620	1	590	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	5e-08
KP823601.1_11	9851	11620	1	590	PF13191	AAA_16	AAA ATPase domain	2.9e-07
KP823601.1_11	9851	11620	1	590	PF13401	AAA_22	AAA domain	9.8e-07
KP823601.1_12	11680	12267	1	196	none	none	none	none
KP823601.1_13	12344	12661	-1	106	PF00196	GerE	Bacterial regulatory proteins, luxR family	3.7e-16
KP823601.1_14	12982	13962	1	327	none	none	none	none
KP823601.1_15	13975	14241	-1	89	none	none	none	none
KP823601.1_16	14252	14380	-1	43	none	none	none	none
KP823601.1_17	14562	15011	-1	150	PF13411	MerR_1	MerR HTH family regulatory protein	4.3e-17
KP823601.1_17	14562	15011	-1	150	PF00376	MerR	MerR family regulatory protein	9.7e-12
KP823601.1_17	14562	15011	-1	150	PF13591	MerR_2	MerR HTH family regulatory protein	1.1e-06
KP823601.1_18	15017	16204	-1	396	PF01556	DnaJ_C	DnaJ C terminal domain	5.7e-47
KP823601.1_18	15017	16204	-1	396	PF00226	DnaJ	DnaJ domain	5.3e-27
KP823601.1_18	15017	16204	-1	396	PF00684	DnaJ_CXXCXGXG	DnaJ central domain	8.6e-12
KP823601.1_19	16247	16933	-1	229	PF01025	GrpE	GrpE	1.4e-36
KP823601.1_20	16930	18786	-1	619	PF00012	HSP70	Hsp70 protein	1.1e-254
KP823601.1_20	16930	18786	-1	619	PF06723	MreB_Mbl	MreB/Mbl protein	5.3e-18
KP823601.1_21	18881	19318	-1	146	none	none	none	none
NZ_JAANNZ010000009.1_1	1	441	1	147	none	none	none	none
NZ_JAANNZ010000009.1_2	536	2392	1	619	PF00012	HSP70	Hsp70 protein	1.1e-254
NZ_JAANNZ010000009.1_2	536	2392	1	619	PF06723	MreB_Mbl	MreB/Mbl protein	5.3e-18
NZ_JAANNZ010000009.1_3	2389	3075	1	229	PF01025	GrpE	GrpE	1.4e-36
NZ_JAANNZ010000009.1_4	3118	4305	1	396	PF01556	DnaJ_C	DnaJ C terminal domain	5.7e-47
NZ_JAANNZ010000009.1_4	3118	4305	1	396	PF00226	DnaJ	DnaJ domain	5.3e-27
NZ_JAANNZ010000009.1_4	3118	4305	1	396	PF00684	DnaJ_CXXCXGXG	DnaJ central domain	8.6e-12
NZ_JAANNZ010000009.1_5	4311	4760	1	150	PF13411	MerR_1	MerR HTH family regulatory protein	4.3e-17
NZ_JAANNZ010000009.1_5	4311	4760	1	150	PF00376	MerR	MerR family regulatory protein	9.7e-12
NZ_JAANNZ010000009.1_5	4311	4760	1	150	PF13591	MerR_2	MerR HTH family regulatory protein	1.1e-06
NZ_JAANNZ010000009.1_6	4942	5070	1	43	none	none	none	none
NZ_JAANNZ010000009.1_7	5081	5347	1	89	none	none	none	none
NZ_JAANNZ010000009.1_8	5360	6340	-1	327	none	none	none	none
NZ_JAANNZ010000009.1_9	6661	6978	1	106	PF00196	GerE	Bacterial regulatory proteins, luxR family	3.7e-16
NZ_JAANNZ010000009.1_10	7055	7642	-1	196	none	none	none	none
NZ_JAANNZ010000009.1_11	7702	9471	-1	590	PF00664	ABC_membrane	ABC transporter transmembrane region	1.1e-33
