accession	start	end	direction	length
OFV10471.1_1	3	230	1	76
OFV10471.1_2	259	999	-1	247
OFV10471.1_3	1211	1507	1	99
OFV10471.1_4	1614	2702	1	363
OFV10471.1_5	2747	3385	1	213
OFV10471.1_6	3391	3975	1	195
OFV10471.1_7	4234	4866	-1	211
OFV10471.1_8	5068	7647	-1	860
OFV10471.1_9	7776	8111	-1	112
OFV10471.1_10	8173	9267	-1	365
OFV10471.1_11	9274	10839	-1	522
OFV10471.1_12	10880	11827	-1	316
OFV10471.1_13	11929	12120	-1	64
OFV10471.1_14	12160	13338	-1	393
OFV10471.1_15	13442	16141	1	900
OFV10471.1_16	16450	18636	1	729
OFV10471.1_17	18640	19917	1	426
OFV10471.1_18	20001	20966	1	322
OFV10471.1_19	21384	21737	1	118
OFV10471.1_20	21730	22371	1	214
OFV10471.1_21	23765	24877	1	371
OFV10471.1_22	24887	25399	-1	171
OFV10471.1_23	25721	27280	1	520
OFV10471.1_24	27474	27995	1	174
OFV10471.1_25	28046	28501	-1	152
OFV10471.1_26	28721	29815	1	365
OFV10471.1_27	29958	31271	1	438
OFV10471.1_28	31400	33520	1	707
OFV10471.1_29	33623	33952	-1	110
SDH45420.1_1	2	250	-1	83
SDH45420.1_2	1211	1804	1	198
SDH45420.1_3	2368	3192	-1	275
SDH45420.1_4	5133	7853	1	907
SDH45420.1_5	7866	8624	1	253
SDH45420.1_6	8734	9678	-1	315
SDH45420.1_7	10150	11475	1	442
SDH45420.1_8	11477	12688	1	404
SDH45420.1_9	12758	15841	1	1028
SDH45420.1_10	15890	17614	1	575
SDH45420.1_11	17601	18785	1	395
SDH45420.1_12	18798	19991	1	398
SDH45420.1_13	20001	20927	1	309
SDH45420.1_14	20987	23155	1	723
SDH45420.1_15	23179	24459	1	427
SDH45420.1_16	24638	24862	-1	75
SDH45420.1_17	25083	25736	-1	218
SDH45420.1_18	25902	26819	1	306
SDH45420.1_19	27003	27779	1	259
SDH45420.1_20	28394	29488	-1	365
SDH45420.1_21	30215	30604	1	130
SDH45420.1_22	30670	30933	1	88
SDH45420.1_23	31002	32318	1	439
SDH45420.1_24	32348	33151	1	268
SDH45420.1_25	33168	33446	1	93
SDH45420.1_26	33662	34000	1	113
SDH45420.1_27	34158	34268	1	37
SDH45420.1_28	34546	34638	1	31
WP_070569063.1_1	1	246	1	82
WP_070569063.1_2	275	1015	-1	247
WP_070569063.1_3	1227	1523	1	99
WP_070569063.1_4	1630	2718	1	363
WP_070569063.1_5	2763	3401	1	213
WP_070569063.1_6	3407	3991	1	195
WP_070569063.1_7	4250	4882	-1	211
WP_070569063.1_8	5085	8111	-1	1009
WP_070569063.1_9	8173	9267	-1	365
WP_070569063.1_10	9274	10839	-1	522
WP_070569063.1_11	10880	11827	-1	316
WP_070569063.1_12	11929	12120	-1	64
WP_070569063.1_13	12160	13338	-1	393
WP_070569063.1_14	13442	16141	1	900
WP_070569063.1_15	16450	18636	1	729
WP_070569063.1_16	18640	19917	1	426
WP_070569063.1_17	20001	20966	1	322
WP_070569063.1_18	21474	21605	-1	44
WP_070569063.1_19	21605	21817	-1	71
WP_070569063.1_20	21807	22646	-1	280
WP_070569063.1_21	23002	23778	1	259
WP_070569063.1_22	23915	24466	1	184
WP_070569063.1_23	24541	25359	1	273
WP_070569063.1_24	25346	26218	1	291
WP_070569063.1_25	26199	26624	-1	142
WP_070569063.1_26	26995	28170	1	392
WP_070569063.1_27	28355	31756	1	1134
WP_070569063.1_28	31774	33429	1	552
WP_070569063.1_29	33434	35008	1	525
WP_070569063.1_30	35005	36495	1	497
WP_070569063.1_31	36695	37288	1	198
WP_070569063.1_32	38040	38630	1	197
WP_070569063.1_33	38719	40518	-1	600
WP_070569063.1_34	40525	40965	-1	147
ATP55373.1_1	3	413	1	137
ATP55373.1_2	845	1168	-1	108
ATP55373.1_3	1346	1990	1	215
ATP55373.1_4	1996	2196	1	67
ATP55373.1_5	2779	3675	-1	299
ATP55373.1_6	4503	4733	1	77
ATP55373.1_7	5422	5775	1	118
ATP55373.1_8	5998	6342	1	115
ATP55373.1_9	6443	8617	1	725
ATP55373.1_10	8631	9929	1	433
ATP55373.1_11	9929	10873	1	315
ATP55373.1_12	10857	12098	1	414
ATP55373.1_13	12095	13309	1	405
ATP55373.1_14	13333	16425	1	1031
ATP55373.1_15	16422	18611	1	730
ATP55373.1_16	18623	19966	1	448
ATP55373.1_17	20001	20852	1	284
ATP55373.1_18	20852	20968	1	39
ATP55373.1_19	21075	21818	1	248
ATP55373.1_20	21884	22441	1	186
ATP55373.1_21	23154	24026	-1	291
ATP55373.1_22	24035	24337	-1	101
ATP55373.1_23	24432	24644	1	71
ATP55373.1_24	24654	25919	1	422
ATP55373.1_25	26252	26941	-1	230
ATP55373.1_26	27940	28146	1	69
ATP55373.1_27	28749	29951	-1	401
ATP55373.1_28	30016	30405	-1	130
ATP55373.1_29	30537	32960	1	808
ATP55373.1_30	33091	34182	-1	364
ATP55373.1_31	34207	35460	-1	418
ATP55373.1_32	35463	36602	-1	380
ATP55373.1_33	36658	37491	-1	278
ATP55373.1_34	37789	38868	-1	360
ATP55373.1_35	38868	39074	-1	69
ATP55373.1_36	39197	40381	1	395
ATP55373.1_37	40435	40755	-1	107
ATP55373.1_38	40769	40852	-1	28
WP_099437326.1_1	3	413	1	137
WP_099437326.1_2	845	1168	-1	108
WP_099437326.1_3	1346	1990	1	215
WP_099437326.1_4	1996	2196	1	67
WP_099437326.1_5	2779	3675	-1	299
WP_099437326.1_6	4503	4733	1	77
WP_099437326.1_7	5422	5775	1	118
WP_099437326.1_8	5998	6342	1	115
WP_099437326.1_9	6443	8617	1	725
WP_099437326.1_10	8631	9929	1	433
WP_099437326.1_11	9929	10873	1	315
WP_099437326.1_12	10857	12098	1	414
WP_099437326.1_13	12095	13309	1	405
WP_099437326.1_14	13333	16425	1	1031
WP_099437326.1_15	16422	18611	1	730
WP_099437326.1_16	18623	19966	1	448
WP_099437326.1_17	20001	20852	1	284
WP_099437326.1_18	20852	20968	1	39
WP_099437326.1_19	21075	21818	1	248
WP_099437326.1_20	21884	22441	1	186
WP_099437326.1_21	23154	24026	-1	291
WP_099437326.1_22	24035	24337	-1	101
WP_099437326.1_23	24432	24644	1	71
WP_099437326.1_24	24654	25919	1	422
WP_099437326.1_25	26252	26941	-1	230
WP_099437326.1_26	27940	28146	1	69
WP_099437326.1_27	28749	29951	-1	401
WP_099437326.1_28	30016	30405	-1	130
WP_099437326.1_29	30537	32960	1	808
WP_099437326.1_30	33091	34182	-1	364
WP_099437326.1_31	34207	35460	-1	418
WP_099437326.1_32	35463	36602	-1	380
WP_099437326.1_33	36658	37491	-1	278
WP_099437326.1_34	37789	38868	-1	360
WP_099437326.1_35	38868	39074	-1	69
WP_099437326.1_36	39197	40381	1	395
WP_099437326.1_37	40435	40755	-1	107
WP_099437326.1_38	40769	40852	-1	28
PST83892.1_1	284	541	-1	86
PST83892.1_2	865	2283	1	473
PST83892.1_3	3197	3706	1	170
PST83892.1_4	3711	4832	1	374
PST83892.1_5	4822	5763	-1	314
PST83892.1_6	5920	6090	1	57
PST83892.1_7	6391	6744	1	118
PST83892.1_8	6931	8976	1	682
