accession	Pfam/Hmm	name	description	E-value
NZ_JBEYAJ010000004.1_4	PF01243	Putative_PNPOx	Pyridoxamine 5'-phosphate oxidase	3.5e-14
NZ_JBEYAJ010000004.1_5	PF07724	AAA_2	AAA domain (Cdc48 subfamily)	5.6e-70
NZ_JBEYAJ010000004.1_5	PF17871	AAA_lid_9	AAA lid domain	3.3e-34
NZ_JBEYAJ010000004.1_5	PF10431	ClpB_D2-small	C-terminal, D2-small domain, of ClpB protein	7.1e-30
NZ_JBEYAJ010000004.1_5	PF00004	AAA	ATPase family associated with various cellular activities (AAA)	1e-19
NZ_JBEYAJ010000004.1_5	PF07728	AAA_5	AAA domain (dynein-related subfamily)	9.8e-18
NZ_JBEYAJ010000004.1_5	PF02861	Clp_N	Clp amino terminal domain, pathogenicity island component	1.4e-16
NZ_JBEYAJ010000004.1_5	PF13401	AAA_22	AAA domain	3.8e-11
NZ_JBEYAJ010000004.1_5	PF13191	AAA_16	AAA ATPase domain	1.3e-09
NZ_JBEYAJ010000004.1_5	PF00158	Sigma54_activat	Sigma-54 interaction domain	7e-09
NZ_JBEYAJ010000004.1_5	PF01637	ATPase_2	ATPase domain predominantly from Archaea	1e-06
NZ_JBEYAJ010000004.1_5	PF20720	nSTAND3	Novel STAND NTPase 3	3.5e-06
NZ_JBEYAJ010000004.1_6	PF10722	YbjN	Putative bacterial sensory transduction regulator	1.5e-17
NZ_JBEYAJ010000004.1_7	PF00877	NLPC_P60	NlpC/P60 family	7e-17
NZ_JBEYAJ010000004.1_8	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	4.4e-22
NZ_JBEYAJ010000004.1_8	PF00675	Peptidase_M16	Insulinase (Peptidase family M16)	1.1e-17
NZ_JBEYAJ010000004.1_10	PF02441	Flavoprotein	Flavoprotein	4.7e-13
NZ_JBEYAJ010000004.1_11	PF00296	Bac_luciferase	Luciferase-like monooxygenase	1e-29
NZ_JBEYAJ010000004.1_15	PF17914	HopA1	HopA1 effector protein family	4.2e-44
NZ_JBEYAJ010000004.1_19	PF00664	ABC_membrane	ABC transporter transmembrane region	1e-31
NZ_JBEYAJ010000004.1_19	PF00005	ABC_tran	ABC transporter	8.4e-30
NZ_JBEYAJ010000004.1_19	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	5.1e-08
NZ_JBEYAJ010000004.1_19	PF13304	AAA_21	AAA domain, putative AbiEii toxin, Type IV TA system	2e-06
NZ_JBEYAJ010000004.1_23	PF13601	HTH_34	Winged helix DNA-binding domain	7.4e-21
NZ_JBEYAJ010000004.1_27	PF17914	HopA1	HopA1 effector protein family	1e-46
NZ_JBEYAJ010000004.1_28	PF01636	APH	Phosphotransferase enzyme family	3.6e-13
NZ_JBEYAJ010000004.1_29	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	3.4e-19
NZ_JBEYAJ010000004.1_29	PF00675	Peptidase_M16	Insulinase (Peptidase family M16)	2.7e-17
NZ_JBEYAJ010000004.1_30	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	2.8e-20
NZ_JBEYAJ010000004.1_32	PF02441	Flavoprotein	Flavoprotein	7.6e-17
