accession	start	end	direction	length	Pfam/Hmm	name	description	E-value
OFV10471.1_1	3	230	1	76	none	none	none	none
OFV10471.1_2	259	999	-1	247	PF04572	Gb3_synth	Alpha 1,4-glycosyltransferase conserved region	1.8e-07
OFV10471.1_2	259	999	-1	247	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	7.2e-07
OFV10471.1_3	1211	1507	1	99	none	none	none	none
OFV10471.1_4	1614	2702	1	363	PF13905	Thioredoxin_8	Thioredoxin-like	1.4e-13
OFV10471.1_4	1614	2702	1	363	PF00085	Thioredoxin	Thioredoxin	8.7e-08
OFV10471.1_4	1614	2702	1	363	PF14289	DUF4369	Domain of unknown function (DUF4369)	2.7e-06
OFV10471.1_5	2747	3385	1	213	PF01755	Glyco_transf_25	Glycosyltransferase family 25 (LPS biosynthesis protein)	8.8e-07
OFV10471.1_6	3391	3975	1	195	none	none	none	none
OFV10471.1_7	4234	4866	-1	211	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	1.2e-09
OFV10471.1_8	5068	7647	-1	860	PF11028	DUF2723	Protein of unknown function (DUF2723)	3.2e-23
OFV10471.1_9	7776	8111	-1	112	PF11028	DUF2723	Protein of unknown function (DUF2723)	8.3e-27
OFV10471.1_10	8173	9267	-1	365	none	none	none	none
OFV10471.1_11	9274	10839	-1	522	PF02709	Glyco_transf_7C	N-terminal domain of galactosyltransferase	6e-07
OFV10471.1_12	10880	11827	-1	316	none	none	none	none
OFV10471.1_13	11929	12120	-1	64	none	none	none	none
OFV10471.1_14	12160	13338	-1	393	PF05147	LANC_like	Lanthionine synthetase C-like protein	5.8e-23
OFV10471.1_15	13442	16141	1	900	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	4.6e-28
OFV10471.1_15	13442	16141	1	900	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	9.9e-28
OFV10471.1_16	16450	18636	1	729	PF03412	Peptidase_C39	Peptidase C39 family	1.1e-36
OFV10471.1_16	16450	18636	1	729	PF00664	ABC_membrane	ABC transporter transmembrane region	3.7e-27
OFV10471.1_16	16450	18636	1	729	PF00005	ABC_tran	ABC transporter	4.3e-27
OFV10471.1_16	16450	18636	1	729	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	1.2e-07
OFV10471.1_17	18640	19917	1	426	PF13437	HlyD_3	HlyD family secretion protein	2.4e-11
OFV10471.1_17	18640	19917	1	426	PF00364	Biotin_lipoyl	Biotin-requiring enzyme	8e-06
OFV10471.1_17	18640	19917	1	426	PF16576	HlyD_D23	Barrel-sandwich domain of CusB or HlyD membrane-fusion	8.3e-06
OFV10471.1_18	20001	20966	1	322	PF00535	Glycos_transf_2	Glycosyl transferase family 2	1.1e-37
OFV10471.1_18	20001	20966	1	322	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	1.4e-16
OFV10471.1_18	20001	20966	1	322	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	4.5e-11
OFV10471.1_19	21384	21737	1	118	none	none	none	none
OFV10471.1_20	21730	22371	1	214	PF01610	DDE_Tnp_ISL3	Transposase	3.6e-27
OFV10471.1_21	23765	24877	1	371	PF01757	Acyl_transf_3	Acyltransferase family	3.2e-32
OFV10471.1_22	24887	25399	-1	171	PF08327	AHSA1	Activator of Hsp90 ATPase homolog 1-like protein	1.2e-09
OFV10471.1_23	25721	27280	1	520	PF00754	F5_F8_type_C	F5/8 type C domain	7.3e-15
OFV10471.1_24	27474	27995	1	174	PF12867	DinB_2	DinB superfamily	8e-07
OFV10471.1_25	28046	28501	-1	152	PF00583	Acetyltransf_1	Acetyltransferase (GNAT) family	3.3e-12
OFV10471.1_25	28046	28501	-1	152	PF13673	Acetyltransf_10	Acetyltransferase (GNAT) domain	3.9e-11
OFV10471.1_25	28046	28501	-1	152	PF13508	Acetyltransf_7	Acetyltransferase (GNAT) domain	9.7e-10
OFV10471.1_26	28721	29815	1	365	PF02518	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1.9e-20
OFV10471.1_26	28721	29815	1	365	PF08448	PAS_4	PAS fold	1.1e-09
OFV10471.1_26	28721	29815	1	365	PF14501	HATPase_c_5	GHKL domain	1e-06
OFV10471.1_27	29958	31271	1	438	PF02518	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1.5e-17
OFV10471.1_27	29958	31271	1	438	PF00512	HisKA	His Kinase A (phospho-acceptor) domain	5.7e-06
OFV10471.1_28	31400	33520	1	707	PF02518	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	6.3e-26
OFV10471.1_28	31400	33520	1	707	PF08447	PAS_3	PAS fold	4.2e-14
OFV10471.1_28	31400	33520	1	707	PF08448	PAS_4	PAS fold	2.1e-13
OFV10471.1_28	31400	33520	1	707	PF00512	HisKA	His Kinase A (phospho-acceptor) domain	3.6e-12
OFV10471.1_28	31400	33520	1	707	PF01590	GAF	GAF domain	2.1e-11
OFV10471.1_28	31400	33520	1	707	PF13185	GAF_2	GAF domain	6e-07
OFV10471.1_29	33623	33952	-1	110	PF07411	DUF1508	Domain of unknown function (DUF1508)	5.8e-50
SDH45420.1_1	2	250	-1	83	PF00075	RNase_H	RNase H	2.7e-22
SDH45420.1_2	1211	1804	1	198	PF09357	RteC	RteC protein	1.1e-20
SDH45420.1_3	2368	3192	-1	275	PF02485	Branch	Core-2/I-Branching enzyme	2.5e-24
SDH45420.1_4	5133	7853	1	907	PF14905	OMP_b-brl_3	Outer membrane protein beta-barrel family	2.9e-12
SDH45420.1_4	5133	7853	1	907	PF13620	CarboxypepD_reg	Carboxypeptidase regulatory-like domain	2.6e-08
SDH45420.1_4	5133	7853	1	907	PF13715	CarbopepD_reg_2	CarboxypepD_reg-like domain	1.8e-07
SDH45420.1_5	7866	8624	1	253	PF09697	Porph_ging	Protein of unknown function (Porph_ging)	1.3e-11
SDH45420.1_6	8734	9678	-1	315	PF01370	Epimerase	NAD dependent epimerase/dehydratase family	5.9e-54
SDH45420.1_6	8734	9678	-1	315	PF16363	GDP_Man_Dehyd	GDP-mannose 4,6 dehydratase	1.5e-52
SDH45420.1_6	8734	9678	-1	315	PF01073	3Beta_HSD	3-beta hydroxysteroid dehydrogenase/isomerase family	3e-27
SDH45420.1_6	8734	9678	-1	315	PF02719	Polysacc_synt_2	Polysaccharide biosynthesis protein	2.6e-14
SDH45420.1_6	8734	9678	-1	315	PF07993	NAD_binding_4	Male sterility protein	4.1e-14
SDH45420.1_6	8734	9678	-1	315	PF04321	RmlD_sub_bind	RmlD substrate binding domain	3.5e-12
SDH45420.1_7	10150	11475	1	442	PF05139	Erythro_esteras	Erythromycin esterase	6.9e-42
SDH45420.1_8	11477	12688	1	404	PF05147	LANC_like	Lanthionine synthetase C-like protein	4.8e-38
SDH45420.1_9	12758	15841	1	1028	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	5.6e-136
SDH45420.1_9	12758	15841	1	1028	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	8.4e-50
