accession	start	end	direction	length
OFV10471.1_1	3	839	-1	279
OFV10471.1_2	880	1827	-1	316
OFV10471.1_3	1929	2120	-1	64
OFV10471.1_4	2160	3338	-1	393
OFV10471.1_5	3442	6141	1	900
OFV10471.1_6	6450	8636	1	729
OFV10471.1_7	8640	9917	1	426
OFV10471.1_8	10001	10966	1	322
OFV10471.1_9	11384	11737	1	118
OFV10471.1_10	11730	12371	1	214
OFV10471.1_11	13765	14877	1	371
OFV10471.1_12	14887	15399	-1	171
OFV10471.1_13	15721	17280	1	520
OFV10471.1_14	17474	17995	1	174
OFV10471.1_15	18046	18501	-1	152
OFV10471.1_16	18721	19815	1	365
OFV10471.1_17	19958	20965	1	336
SDH45420.1_1	150	1475	1	442
SDH45420.1_2	1477	2688	1	404
SDH45420.1_3	2758	5841	1	1028
SDH45420.1_4	5890	7614	1	575
SDH45420.1_5	7601	8785	1	395
SDH45420.1_6	8798	9991	1	398
SDH45420.1_7	10001	10927	1	309
SDH45420.1_8	10987	13155	1	723
SDH45420.1_9	13179	14459	1	427
SDH45420.1_10	14638	14862	-1	75
SDH45420.1_11	15083	15736	-1	218
SDH45420.1_12	15902	16819	1	306
SDH45420.1_13	17003	17779	1	259
SDH45420.1_14	18394	19488	-1	365
SDH45420.1_15	20215	20604	1	130
SDH45420.1_16	20670	20927	1	86
ATP55373.1_1	1	873	1	291
ATP55373.1_2	857	2098	1	414
ATP55373.1_3	2095	3309	1	405
ATP55373.1_4	3333	6425	1	1031
ATP55373.1_5	6422	8611	1	730
ATP55373.1_6	8623	9966	1	448
ATP55373.1_7	10001	10852	1	284
ATP55373.1_8	11075	11818	1	248
ATP55373.1_9	11884	12441	1	186
ATP55373.1_10	13154	14026	-1	291
ATP55373.1_11	14432	14644	1	71
ATP55373.1_12	14654	15919	1	422
ATP55373.1_13	16252	16941	-1	230
ATP55373.1_14	17940	18146	1	69
ATP55373.1_15	18749	19951	-1	401
ATP55373.1_16	20016	20405	-1	130
ATP55373.1_17	20507	20851	1	115
WP_070569063.1_1	3	839	-1	279
WP_070569063.1_2	880	1827	-1	316
WP_070569063.1_3	1929	2120	-1	64
WP_070569063.1_4	2160	3338	-1	393
WP_070569063.1_5	3442	6141	1	900
WP_070569063.1_6	6450	8636	1	729
WP_070569063.1_7	8640	9917	1	426
WP_070569063.1_8	10001	10966	1	322
WP_070569063.1_9	11474	11605	-1	44
WP_070569063.1_10	11605	11817	-1	71
WP_070569063.1_11	11807	12646	-1	280
WP_070569063.1_12	13002	13778	1	259
WP_070569063.1_13	13915	14466	1	184
WP_070569063.1_14	14541	15359	1	273
WP_070569063.1_15	15346	16218	1	291
WP_070569063.1_16	16199	16624	-1	142
WP_070569063.1_17	16995	18170	1	392
WP_070569063.1_18	18355	20964	1	870
WP_099437326.1_1	1	873	1	291
WP_099437326.1_2	857	2098	1	414
WP_099437326.1_3	2095	3309	1	405
WP_099437326.1_4	3333	6425	1	1031
WP_099437326.1_5	6422	8611	1	730
WP_099437326.1_6	8623	9966	1	448
WP_099437326.1_7	10001	10852	1	284
WP_099437326.1_8	11075	11818	1	248
WP_099437326.1_9	11884	12441	1	186
WP_099437326.1_10	13154	14026	-1	291
WP_099437326.1_11	14432	14644	1	71
WP_099437326.1_12	14654	15919	1	422
WP_099437326.1_13	16252	16941	-1	230
WP_099437326.1_14	17940	18146	1	69
WP_099437326.1_15	18749	19951	-1	401
WP_099437326.1_16	20016	20405	-1	130
WP_099437326.1_17	20507	20851	1	115
PST83892.1_1	2	283	1	94
PST83892.1_2	285	1067	1	261
PST83892.1_3	1051	2268	1	406
PST83892.1_4	2268	3476	1	403
PST83892.1_5	3531	6551	1	1007
PST83892.1_6	6548	8656	1	703
PST83892.1_7	8631	10001	1	457
PST83892.1_8	10001	10924	1	308
PST83892.1_9	10913	11560	-1	216
PST83892.1_10	11810	12538	-1	243
PST83892.1_11	13140	13751	-1	204
PST83892.1_12	14274	14651	1	126
PST83892.1_13	15406	15603	1	66
PST83892.1_14	15575	16456	1	294
PST83892.1_15	16588	17187	-1	200
PST83892.1_16	17147	18619	-1	491
PST83892.1_17	18726	18905	1	60
PST83892.1_18	18922	19173	-1	84
PST83892.1_19	19909	20220	1	104
PST83892.1_20	20193	20924	1	244
WP_107213801.1_1	2	283	1	94
WP_107213801.1_2	285	1067	1	261
WP_107213801.1_3	1051	2268	1	406
WP_107213801.1_4	2268	3476	1	403
WP_107213801.1_5	3531	6551	1	1007
WP_107213801.1_6	6548	8656	1	703
WP_107213801.1_7	8631	10001	1	457
WP_107213801.1_8	10001	10924	1	308
WP_107213801.1_9	10913	11560	-1	216
WP_107213801.1_10	11810	12538	-1	243
WP_107213801.1_11	13140	13751	-1	204
WP_107213801.1_12	14274	14651	1	126
WP_107213801.1_13	15406	15603	1	66
WP_107213801.1_14	15575	16456	1	294
WP_107213801.1_15	16588	17187	-1	200
WP_107213801.1_16	17147	18619	-1	491
WP_107213801.1_17	18726	18905	1	60
WP_107213801.1_18	18922	19173	-1	84
WP_107213801.1_19	19909	20220	1	104
WP_107213801.1_20	20193	20924	1	244
