accession	start	end	direction	length
NZ_JBEYAJ010000004.1_1	1	456	-1	152
NZ_JBEYAJ010000004.1_2	561	806	1	82
NZ_JBEYAJ010000004.1_3	809	1144	1	112
NZ_JBEYAJ010000004.1_4	1311	1727	-1	139
NZ_JBEYAJ010000004.1_5	1866	4463	1	866
NZ_JBEYAJ010000004.1_6	4619	5146	1	176
NZ_JBEYAJ010000004.1_7	5499	7022	1	508
NZ_JBEYAJ010000004.1_8	7277	9916	-1	880
NZ_JBEYAJ010000004.1_9	10002	10937	-1	312
NZ_JBEYAJ010000004.1_10	10934	11614	-1	227
NZ_JBEYAJ010000004.1_11	11611	12588	-1	326
NZ_JBEYAJ010000004.1_12	12705	13031	1	109
NZ_JBEYAJ010000004.1_13	13125	13295	-1	57
NZ_JBEYAJ010000004.1_14	13390	13581	-1	64
NZ_JBEYAJ010000004.1_15	13662	14687	-1	342
NZ_JBEYAJ010000004.1_16	14684	15859	-1	392
NZ_JBEYAJ010000004.1_17	16241	16537	-1	99
NZ_JBEYAJ010000004.1_18	16734	17366	-1	211
NZ_JBEYAJ010000004.1_19	17603	19384	-1	594
NZ_JBEYAJ010000004.1_20	19407	19592	-1	62
NZ_JBEYAJ010000004.1_21	19858	20172	1	105
NZ_JBEYAJ010000004.1_22	20355	20822	1	156
NZ_JBEYAJ010000004.1_23	20819	21157	1	113
NZ_JBEYAJ010000004.1_24	21271	21471	-1	67
NZ_JBEYAJ010000004.1_25	21566	21754	-1	63
NZ_JBEYAJ010000004.1_26	22037	22363	-1	109
NZ_JBEYAJ010000004.1_27	22380	23378	-1	333
NZ_JBEYAJ010000004.1_28	23375	24508	-1	378
NZ_JBEYAJ010000004.1_29	24690	26009	1	440
NZ_JBEYAJ010000004.1_30	26013	27422	1	470
NZ_JBEYAJ010000004.1_31	28576	29550	-1	325
NZ_JBEYAJ010000004.1_32	29519	30202	-1	228
NZ_JBEYAJ010000004.1_33	30207	31226	-1	340
NZ_JBEYAJ010000004.1_34	31226	32074	-1	283
NZ_JBEYAJ010000004.1_35	32071	32886	-1	272
NZ_JBEYAJ010000004.1_36	33198	34385	-1	396
NZ_JBEYAJ010000004.1_37	34525	36951	1	809
NZ_JBEYAJ010000004.1_38	38004	38528	1	175
NZ_JBEYAJ010000004.1_39	38587	40200	1	538
KP823601.1_1	1	603	-1	201
KP823601.1_2	856	1875	-1	340
KP823601.1_3	1872	3266	-1	465
KP823601.1_4	3263	4540	-1	426
KP823601.1_5	4537	5394	-1	286
KP823601.1_6	5391	6521	-1	377
KP823601.1_7	6518	7723	-1	402
KP823601.1_8	7720	8712	-1	331
KP823601.1_9	8709	9320	-1	204
KP823601.1_10	9427	9645	-1	73
KP823601.1_11	9851	11620	1	590
KP823601.1_12	11680	12267	1	196
KP823601.1_13	12344	12661	-1	106
KP823601.1_14	12982	13962	1	327
KP823601.1_15	13975	14241	-1	89
KP823601.1_16	14252	14380	-1	43
KP823601.1_17	14562	15011	-1	150
KP823601.1_18	15017	16204	-1	396
KP823601.1_19	16247	16933	-1	229
KP823601.1_20	16930	18786	-1	619
KP823601.1_21	18881	19318	-1	146
NZ_JAANNZ010000009.1_1	1	441	1	147
NZ_JAANNZ010000009.1_2	536	2392	1	619
NZ_JAANNZ010000009.1_3	2389	3075	1	229
NZ_JAANNZ010000009.1_4	3118	4305	1	396
NZ_JAANNZ010000009.1_5	4311	4760	1	150
NZ_JAANNZ010000009.1_6	4942	5070	1	43
NZ_JAANNZ010000009.1_7	5081	5347	1	89
NZ_JAANNZ010000009.1_8	5360	6340	-1	327
NZ_JAANNZ010000009.1_9	6661	6978	1	106
NZ_JAANNZ010000009.1_10	7055	7642	-1	196
NZ_JAANNZ010000009.1_11	7702	9471	-1	590
NZ_JAANNZ010000009.1_12	9677	9895	1	73
NZ_JAANNZ010000009.1_13	10002	10613	1	204
NZ_JAANNZ010000009.1_14	10610	11602	1	331
NZ_JAANNZ010000009.1_15	11599	12804	1	402
NZ_JAANNZ010000009.1_16	12801	13931	1	377
NZ_JAANNZ010000009.1_17	13928	14785	1	286
NZ_JAANNZ010000009.1_18	14782	16059	1	426
NZ_JAANNZ010000009.1_19	16056	17414	1	453
NZ_JAANNZ010000009.1_20	17411	18445	1	345
NZ_JAANNZ010000009.1_21	18698	19807	1	370
NZ_JAANNZ010000009.1_22	19958	20995	1	346
NZ_JAANNZ010000009.1_23	20958	21941	-1	328
NZ_JAANNZ010000009.1_24	21967	22950	-1	328
NZ_JAANNZ010000009.1_25	23255	23590	1	112
NZ_JAANNZ010000009.1_26	23848	23931	1	28
NZ_JBHVKV010000007.1_1	3	86	-1	28
NZ_JBHVKV010000007.1_2	344	679	-1	112
NZ_JBHVKV010000007.1_3	984	1967	1	328
NZ_JBHVKV010000007.1_4	1993	2976	1	328
NZ_JBHVKV010000007.1_5	2939	3976	-1	346
NZ_JBHVKV010000007.1_6	4126	5235	-1	370
NZ_JBHVKV010000007.1_7	5488	6522	-1	345
NZ_JBHVKV010000007.1_8	6519	7877	-1	453
NZ_JBHVKV010000007.1_9	7874	9151	-1	426
NZ_JBHVKV010000007.1_10	9148	10005	-1	286
NZ_JBHVKV010000007.1_11	10002	11132	-1	377
NZ_JBHVKV010000007.1_12	11129	12334	-1	402
NZ_JBHVKV010000007.1_13	12331	13323	-1	331
NZ_JBHVKV010000007.1_14	13320	13931	-1	204
NZ_JBHVKV010000007.1_15	14038	14256	-1	73
NZ_JBHVKV010000007.1_16	14462	16231	1	590
NZ_JBHVKV010000007.1_17	16291	16878	1	196
NZ_JBHVKV010000007.1_18	16955	17272	-1	106
NZ_JBHVKV010000007.1_19	17593	18573	1	327
NZ_JBHVKV010000007.1_20	18586	18852	-1	89
NZ_JBHVKV010000007.1_21	18863	18991	-1	43
NZ_JBHVKV010000007.1_22	19173	19622	-1	150
NZ_JBHVKV010000007.1_23	19628	20815	-1	396
NZ_JBHVKV010000007.1_24	20858	21544	-1	229
NZ_JBHVKV010000007.1_25	21541	23397	-1	619
NZ_JBHVKV010000007.1_26	23492	23929	-1	146
NZ_JAGPYI010000017.1_1	2	82	-1	27
NZ_JAGPYI010000017.1_2	340	675	-1	112
NZ_JAGPYI010000017.1_3	980	1963	1	328
NZ_JAGPYI010000017.1_4	1989	2972	1	328
NZ_JAGPYI010000017.1_5	2935	3972	-1	346
NZ_JAGPYI010000017.1_6	4123	5232	-1	370
NZ_JAGPYI010000017.1_7	5494	6528	-1	345
NZ_JAGPYI010000017.1_8	6525	7883	-1	453
NZ_JAGPYI010000017.1_9	7880	9151	-1	424
NZ_JAGPYI010000017.1_10	9148	10005	-1	286
NZ_JAGPYI010000017.1_11	10002	11132	-1	377
NZ_JAGPYI010000017.1_12	11129	12334	-1	402
NZ_JAGPYI010000017.1_13	12331	13323	-1	331
NZ_JAGPYI010000017.1_14	13320	13931	-1	204
NZ_JAGPYI010000017.1_15	14038	14256	-1	73
NZ_JAGPYI010000017.1_16	14505	16274	1	590
NZ_JAGPYI010000017.1_17	16334	16924	1	197
NZ_JAGPYI010000017.1_18	17001	17318	-1	106
NZ_JAGPYI010000017.1_19	17639	18619	1	327
NZ_JAGPYI010000017.1_20	18632	18898	-1	89
NZ_JAGPYI010000017.1_21	18909	19037	-1	43
NZ_JAGPYI010000017.1_22	19219	19668	-1	150
NZ_JAGPYI010000017.1_23	19674	20861	-1	396
NZ_JAGPYI010000017.1_24	20904	21590	-1	229
NZ_JAGPYI010000017.1_25	21587	23443	-1	619
NZ_JAGPYI010000017.1_26	23538	23930	-1	131
NZ_JBIENY010000216.1_1	3	437	1	145
NZ_JBIENY010000216.1_2	532	2388	1	619
NZ_JBIENY010000216.1_3	2385	3071	1	229
NZ_JBIENY010000216.1_4	3114	4301	1	396
NZ_JBIENY010000216.1_5	4307	4756	1	150
NZ_JBIENY010000216.1_6	4938	5066	1	43
NZ_JBIENY010000216.1_7	5077	5343	1	89
NZ_JBIENY010000216.1_8	5356	6336	-1	327
NZ_JBIENY010000216.1_9	6657	6974	1	106
NZ_JBIENY010000216.1_10	7051	7641	-1	197
NZ_JBIENY010000216.1_11	7701	9470	-1	590
NZ_JBIENY010000216.1_12	9677	9895	1	73
NZ_JBIENY010000216.1_13	10002	10613	1	204
NZ_JBIENY010000216.1_14	10610	11602	1	331
NZ_JBIENY010000216.1_15	11599	12804	1	402
NZ_JBIENY010000216.1_16	12801	13931	1	377
NZ_JBIENY010000216.1_17	13928	14776	1	283
NZ_JBIENY010000216.1_18	14773	16068	1	432
NZ_JBIENY010000216.1_19	16065	17441	1	459
NZ_JBIENY010000216.1_20	17438	18439	1	334
NZ_JBIENY010000216.1_21	18692	19801	1	370
NZ_JBIENY010000216.1_22	19952	20989	1	346
NZ_JBIENY010000216.1_23	20952	21935	-1	328
NZ_JBIENY010000216.1_24	21961	22944	-1	328
NZ_JBIENY010000216.1_25	23249	23584	1	112
NZ_JBIENY010000216.1_26	23842	23931	1	30
